"DateTime","Pre Open TATAMOTORS","TATAMOTORSEQN"
"2023-02-10 09:00:02",448,
"2023-02-10 09:00:03",438.95,
"2023-02-10 09:00:04",438.95,
"2023-02-10 09:00:05",438.95,
"2023-02-10 09:00:06",444.8,
"2023-02-10 09:00:07",444.6,
"2023-02-10 09:00:08",445,
"2023-02-10 09:00:09",444.55,
"2023-02-10 09:00:10",444,
"2023-02-10 09:00:12",440.95,
"2023-02-10 09:00:13",440.5,
"2023-02-10 09:00:14",440,
"2023-02-10 09:00:15",440.5,
"2023-02-10 09:00:16",440.7,
"2023-02-10 09:00:17",440.75,
"2023-02-10 09:00:18",438.95,
"2023-02-10 09:00:19",438.95,
"2023-02-10 09:00:20",438.95,
"2023-02-10 09:00:21",438.95,
"2023-02-10 09:00:22",438.95,
"2023-02-10 09:00:23",438.95,
"2023-02-10 09:00:24",438.95,
"2023-02-10 09:00:25",438.95,
"2023-02-10 09:00:26",438.95,
"2023-02-10 09:00:27",438.95,
"2023-02-10 09:00:28",438.95,
"2023-02-10 09:00:29",438.95,
"2023-02-10 09:00:31",438.95,
"2023-02-10 09:00:32",438.95,
"2023-02-10 09:00:33",438.95,
"2023-02-10 09:00:34",438.95,
"2023-02-10 09:00:35",438.95,
"2023-02-10 09:00:36",438.95,
"2023-02-10 09:00:37",438.95,
"2023-02-10 09:00:38",438.95,
"2023-02-10 09:00:39",438.95,
"2023-02-10 09:00:40",438.95,
"2023-02-10 09:00:41",438.95,
"2023-02-10 09:00:42",438.95,
"2023-02-10 09:00:43",438.95,
"2023-02-10 09:00:44",438.95,
"2023-02-10 09:00:45",438.95,
"2023-02-10 09:00:46",438.95,
"2023-02-10 09:00:47",438.95,
"2023-02-10 09:00:48",438.95,
"2023-02-10 09:00:49",438.95,
"2023-02-10 09:00:50",438.95,
"2023-02-10 09:00:51",438.95,
"2023-02-10 09:00:52",438.95,
"2023-02-10 09:00:53",438.95,
"2023-02-10 09:00:54",438.95,
"2023-02-10 09:00:55",438.95,
"2023-02-10 09:00:56",438.95,
"2023-02-10 09:00:57",438.95,
"2023-02-10 09:00:58",438.95,
"2023-02-10 09:00:59",438.95,
"2023-02-10 09:01:00",438.95,
"2023-02-10 09:01:01",438.95,
"2023-02-10 09:01:02",438.95,
"2023-02-10 09:01:03",438.95,
"2023-02-10 09:01:04",438.95,
"2023-02-10 09:01:06",438.95,
"2023-02-10 09:01:07",438.95,
"2023-02-10 09:01:08",438.95,
"2023-02-10 09:01:09",438.95,
