"DateTime","Pre Open RELIANCE","RELIANCEEQN"
"2023-02-17 09:00:01",2474,
"2023-02-17 09:00:02",2465,
"2023-02-17 09:00:03",2460,
"2023-02-17 09:00:04",2460,
"2023-02-17 09:00:05",2455,
"2023-02-17 09:00:06",2450,
"2023-02-17 09:00:07",2460,
"2023-02-17 09:00:08",2460,
"2023-02-17 09:00:09",2456.3,
"2023-02-17 09:00:10",2456.3,
"2023-02-17 09:00:11",2460,
"2023-02-17 09:00:12",2460,
"2023-02-17 09:00:13",2460,
"2023-02-17 09:00:14",2460,
"2023-02-17 09:00:15",2460,
"2023-02-17 09:00:16",2460,
"2023-02-17 09:00:18",2460,
"2023-02-17 09:00:20",2460,
"2023-02-17 09:00:21",2460,
"2023-02-17 09:00:22",2460,
"2023-02-17 09:00:23",2460,
"2023-02-17 09:00:24",2460,
"2023-02-17 09:00:25",2460,
"2023-02-17 09:00:26",2460,
"2023-02-17 09:00:27",2459,
"2023-02-17 09:00:28",2459,
"2023-02-17 09:00:29",2458,
"2023-02-17 09:00:30",2458.6,
"2023-02-17 09:00:31",2458.6,
"2023-02-17 09:00:32",2458.6,
"2023-02-17 09:00:33",2458.6,
"2023-02-17 09:00:34",2458.6,
"2023-02-17 09:00:35",2458.6,
"2023-02-17 09:00:36",2449.85,
"2023-02-17 09:00:37",2450,
"2023-02-17 09:00:38",2460,
"2023-02-17 09:00:39",2460,
"2023-02-17 09:00:40",2460,
"2023-02-17 09:00:41",2460.05,
"2023-02-17 09:00:42",2460,
"2023-02-17 09:00:43",2460,
"2023-02-17 09:00:44",2460,
"2023-02-17 09:00:45",2460,
"2023-02-17 09:00:46",2460,
"2023-02-17 09:00:47",2460,
"2023-02-17 09:00:48",2460,
"2023-02-17 09:00:49",2460,
"2023-02-17 09:00:50",2460,
"2023-02-17 09:00:51",2460,
"2023-02-17 09:00:52",2465,
"2023-02-17 09:00:54",2465,
"2023-02-17 09:00:55",2465,
"2023-02-17 09:00:56",2460,
"2023-02-17 09:00:57",2460,
"2023-02-17 09:00:58",2460,
"2023-02-17 09:00:59",2460,
"2023-02-17 09:01:00",2460,
"2023-02-17 09:01:01",2460,
"2023-02-17 09:01:02",2460,
"2023-02-17 09:01:03",2460,
"2023-02-17 09:01:04",2460,
"2023-02-17 09:01:05",2459.45,
"2023-02-17 09:01:06",2459.45,
"2023-02-17 09:01:07",2459.45,
"2023-02-17 09:01:08",2459.45,
"2023-02-17 09:01:09",2459,
"2023-02-17 09:01:10",2459,
"2023-02-17 09:01:11",2459,
"2023-02-17 09:01:12",2458,
"2023-02-17 09:01:13",2456.3,
"2023-02-17 09:01:14",2448.5,
"2023-02-17 09:01:15",2448.5,
"2023-02-17 09:01:16",2448.5,
"2023-02-17 09:01:17",2445,
"2023-02-17 09:01:18",2445,
"2023-02-17 09:01:19",2445,
"2023-02-17 09:01:20",2445,
"2023-02-17 09:01:21",2445,
"2023-02-17 09:01:22",2445,
"2023-02-17 09:01:23",2445,
"2023-02-17 09:01:24",2445,
"2023-02-17 09:01:25",2445,
"2023-02-17 09:01:26",2445,
"2023-02-17 09:01:27",2445,
"2023-02-17 09:01:28",2445,
"2023-02-17 09:01:29",2445,
"2023-02-17 09:01:30",2444,
"2023-02-17 09:01:31",2444,
"2023-02-17 09:01:32",2444,
"2023-02-17 09:01:33",2444,
"2023-02-17 09:01:34",2444,
"2023-02-17 09:01:35",2444,
"2023-02-17 09:01:36",2444,
"2023-02-17 09:01:37",2444,
"2023-02-17 09:01:38",2444,
"2023-02-17 09:01:39",2444,
"2023-02-17 09:01:40",2444,
